time_stamp,index_no,City_long,City_lat,long,lat,name,city,humidity,temperature,voc,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pressure,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b
2024-05-06,187780.0,-54.05666699999999,-24.556110999999998,-53.9693,-24.55975,MarechalCandidoRondon-UNIOESTE,Marechal Candido Rondon,34.249207188160675,93.38794926004229,91.14022903453136,7.739952431289641,6.791799682875264,8.688105179704017,10.412719344608881,9.486038583509513,11.339400105708247,11.95275766384778,10.846086152219872,13.059429175475687,,,,,,,,,,
2024-05-07,187780.0,-54.05666699999999,-24.556110999999998,-53.969300000000004,-24.559749999999998,MarechalCandidoRondon-UNIOESTE,Marechal Candido Rondon,37.499301675977655,92.14874301675977,80.9401187150838,3.852105446927374,3.438603351955307,4.265607541899441,5.070104748603352,4.6389664804469275,5.501243016759777,6.0616305865921785,5.57673184357542,6.546529329608939,,,,,,,,,,
2024-05-08,187779.0,-54.05666699999998,-24.556110999999994,-53.99479999999999,-24.5582,MarechalCandidoRondon-UNIOESTE,Marechal Candido Rondon,43.261851015801355,91.22121896162528,76.03704288939053,5.70997742663657,5.659661399548532,5.760293453724604,7.493758465011286,7.66665914221219,7.320857787810383,8.752505643340857,8.792911963882618,8.712099322799098,,,,,,,,,,
2024-05-09,187781.0,-54.05666699999998,-24.556110999999998,-53.9438,-24.5613,,,56.28252788104089,83.635687732342,71.28037174721189,8.456970260223047,7.010706319702603,9.903234200743494,10.741226765799256,9.115130111524165,12.36732342007435,12.040966542750931,10.21029739776952,13.871635687732343,,,,,,,,,,
2024-05-10,187781.0,-54.056666999999976,-24.556110999999994,-53.9438,-24.5613,,,44.42922374429224,89.53424657534246,115.50451612903224,6.963607305936073,5.652237442922375,8.274977168949771,9.198401826484018,7.697762557077625,10.699041095890411,11.182123287671232,9.351872146118723,13.012374429223744,,,,,,,,,,
2024-05-11,187781.0,-54.05666699999998,-24.556110999999994,-53.9438,-24.5613,,,29.040178571428573,98.30803571428571,128.24468468468467,4.489263392857143,3.4808928571428575,5.497633928571429,6.021919642857142,4.900892857142856,7.142946428571428,7.155558035714285,5.904955357142858,8.406160714285715,,,,,,,,,,
2024-05-12,187781.0,-54.056666999999976,-24.556110999999994,-53.9438,-24.5613,,,41.995049504950494,90.58663366336634,92.44524173027989,7.548155940594059,6.122648514851486,8.973663366336632,10.0165099009901,8.38829207920792,11.644727722772277,11.358032178217822,9.511559405940593,13.20450495049505,,,,,,,,,,
2024-05-13,187781.0,-54.056667000000004,-24.556110999999998,-53.94379999999999,-24.5613,,,64.75816993464052,74.73856209150327,70.73603618421053,3.2151715686274507,2.6892483660130724,3.7410947712418303,4.798986928104576,4.140686274509804,5.457287581699346,5.91421568627451,4.913545751633987,6.914885620915032,,,,,,,,,,
2024-05-14,187780.0,-54.05666699999999,-24.556111,-53.969300000000004,-24.559749999999998,MarechalCandidoRondon-UNIOESTE,Marechal Candido Rondon,61.14286419080196,70.51654152649087,67.52007472973611,2.19696022139944,2.070033266299547,2.3238871764993325,2.829277985039562,2.7152212349878777,2.9433347350912475,3.2389697079331667,3.0770953774879244,3.4008440383784087,,,,,,,,,,
2024-05-15,187780.0,-54.05666699999999,-24.556111,-53.969300000000004,-24.559749999999998,MarechalCandidoRondon-UNIOESTE,Marechal Candido Rondon,57.402244993661554,71.37999216712873,67.76722526236881,8.628264999690808,8.03805548970905,9.218474509672564,10.994683387098437,10.499827651066198,11.489539123130674,12.110380132591956,11.470379907139248,12.75038035804467,,,,,,,,,,
