City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,3.003,4.303333333333334,4.823,,-36.900666666666666,53.81933333333333,75.256
-50.382778,-25.874167,Sao Mateus do Sul,2.2505,3.24,3.7955,,62.038,51.045,86.8935
-53.055,-26.081111,Francisco Beltrao,1.1995,1.7925,2.1115,,60.83,54.194,65.575
-54.093889,-25.295278,Medianeira,4.5965,6.5635,7.49,,63.445,50.134,71.576
-54.588056,-25.547778,Foz do Iguacu,4.4425,6.411,7.401,,64.772,47.455,74.911
-54.056667,-24.556111,Marechal Candido Rondon,5.415000000000001,7.658749999999999,8.78925,,63.395,51.149,86.30799999999999
-52.383056,-24.045556,Campo Mourao,3.04525,4.28375,4.3775,,60.83,52.2085,75.3835
-52.465278,-23.073056,Paranavai,4.101,5.5915,6.33,,60.363,59.576,131.29
-50.161944,-25.095,Ponta Grossa,1.4580000000000002,1.9855,2.2485,,63.318,55.497,70.632
-51.162778,-23.310278,Londrina,2.343,3.119,3.383,,64.321,59.76,76.131
-51.458056,-25.395278,Guarapuava,2.3164520547945204,3.218356164383562,3.5746301369863014,903.6567260273972,65.05616438356165,64.21643835616439,150.2481050955414
